****************************************
Report : report_global_slack
Design : multdiv
Version: K-2015.06-SP3-2
Date   : Wed Apr 28 12:37:20 2021
****************************************

       Max_Rise      Max_Fall   Point
              *             *   U225/A2
              *             *   U225/A3
              *             *   U225/A4
              *             *   U225/ZN
              *             *   U230/A1
              *             *   U230/A2
              *             *   U230/A3
              *             *   U230/A4
              *             *   U230/ZN
              *             *   U236/A1
              *             *   U236/A2
              *             *   U236/A3
              *             *   U236/A4
              *             *   U236/ZN
              *             *   U241/A1
              *             *   U241/A2
              *             *   U241/A3
              *             *   U241/A4
              *             *   U241/ZN
              *             *   U250/A1
              *             *   U250/A2
              *             *   U250/A3
              *             *   U250/A4
              *             *   U250/ZN
              *             *   U288/A1
              *             *   U288/A2
           0.36          0.41   U288/B1
              *             *   U288/B2
           0.41          0.36   U288/ZN
              *             *   U289/A1
              *             *   U289/A2
              *             *   U289/B1
           0.33          0.27   U289/B2
           0.27          0.33   U289/ZN
              *             *   U293/A1
              *             *   U293/A2
              *             *   U293/B1
           0.03          0.08   U293/B2
           0.08          0.03   U293/ZN
              *             *   U300/A1
              *             *   U300/A2
              *             *   U300/B1
          -0.37         -0.28   U300/B2
          -0.28         -0.37   U300/ZN
              *             *   U302/A1
              *             *   U302/A2
              *             *   U302/B1
          -0.24         -0.38   U302/B2
          -0.38         -0.24   U302/ZN
              *             *   U304/A1
              *             *   U304/A2
              *             *   U304/B1
          -0.46         -0.36   U304/B2
          -0.36         -0.46   U304/ZN
              *             *   U307/A1
              *             *   U307/A2
              *             *   U307/B1
          -0.56         -0.45   U307/B2
          -0.45         -0.56   U307/ZN
              *             *   U309/A1
              *             *   U309/A2
              *             *   U309/B1
          -0.60         -0.50   U309/B2
          -0.50         -0.60   U309/ZN
              *             *   U311/A1
              *             *   U311/A2
              *             *   U311/B1
          -0.65         -0.52   U311/B2
          -0.52         -0.65   U311/ZN
              *             *   U313/A1
              *             *   U313/A2
          -0.54         -0.69   U313/B1
              *             *   U313/B2
          -0.69         -0.54   U313/ZN
              *             *   U314/A1
              *             *   U314/A2
          -0.51         -0.69   U314/B1
              *             *   U314/B2
          -0.69         -0.51   U314/ZN
              *             *   U315/A1
              *             *   U315/A2
              *             *   U315/B1
          -0.32         -0.48   U315/B2
          -0.48         -0.32   U315/ZN
              *             *   U316/A1
              *             *   U316/A2
              *             *   U316/B1
          -0.50         -0.40   U316/B2
          -0.40         -0.50   U316/ZN
              *             *   U317/A1
              *             *   U317/A2
              *             *   U317/B1
          -0.29         -0.23   U317/B2
          -0.23         -0.29   U317/ZN
              *             *   U318/A1
              *             *   U318/A2
              *             *   U318/B1
          -0.30         -0.24   U318/B2
          -0.24         -0.30   U318/ZN
              *             *   U319/A1
              *             *   U319/A2
              *             *   U319/B1
          -0.24         -0.18   U319/B2
          -0.18         -0.24   U319/ZN
              *             *   U320/A1
              *             *   U320/A2
              *             *   U320/B1
          -0.21         -0.16   U320/B2
          -0.16         -0.21   U320/ZN
              *             *   U321/A1
              *             *   U321/A2
              *             *   U321/B1
          -0.15         -0.12   U321/B2
          -0.12         -0.15   U321/ZN
              *             *   U322/A1
              *             *   U322/A2
              *             *   U322/B1
          -0.14         -0.10   U322/B2
          -0.10         -0.14   U322/ZN
              *             *   U323/A1
              *             *   U323/A2
              *             *   U323/B1
          -0.08         -0.05   U323/B2
          -0.05         -0.08   U323/ZN
              *             *   U324/A1
              *             *   U324/A2
              *             *   U324/B1
          -0.07         -0.06   U324/B2
          -0.06         -0.07   U324/ZN
              *             *   U325/A1
              *             *   U325/A2
              *             *   U325/B1
          -0.04         -0.05   U325/B2
          -0.05         -0.04   U325/ZN
              *             *   U327/A1
              *             *   U327/A2
              *             *   U327/B1
          -0.09         -0.06   U327/B2
          -0.06         -0.09   U327/ZN
              *             *   U328/A1
              *             *   U328/A2
              *             *   U328/B1
          -0.07         -0.03   U328/B2
          -0.03         -0.07   U328/ZN
              *             *   U329/A1
              *             *   U329/A2
              *             *   U329/B1
          -0.07         -0.06   U329/B2
          -0.06         -0.07   U329/ZN
              *             *   U330/A1
              *             *   U330/A2
              *             *   U330/B1
          -0.03         -0.02   U330/B2
          -0.02         -0.03   U330/ZN
              *             *   U331/A1
              *             *   U331/A2
              *             *   U331/B1
           0.00          0.03   U331/B2
           0.03          0.00   U331/ZN
              *             *   U332/A1
              *             *   U332/A2
              *             *   U332/B1
           0.06          0.07   U332/B2
           0.07          0.06   U332/ZN
              *             *   U333/A1
              *             *   U333/A2
              *             *   U333/B1
           0.14          0.14   U333/B2
           0.14          0.14   U333/ZN
              *             *   U334/A1
              *             *   U334/A2
              *             *   U334/B1
           0.16          0.16   U334/B2
           0.16          0.16   U334/ZN
              *             *   U335/A1
              *             *   U335/A2
              *             *   U335/B1
           0.27          0.24   U335/B2
           0.24          0.27   U335/ZN
              *             *   U336/A1
              *             *   U336/A2
              *             *   U336/B1
           0.26          0.22   U336/B2
           0.22          0.26   U336/ZN
              *             *   U338/A
              *             *   U338/B
              *             *   U338/ZN
          -1.99         -1.94   U635/A1
          -2.07         -2.08   U635/A2
          -2.06         -2.04   U635/A3
          -2.04         -2.05   U635/A4
          -2.08         -2.07   U635/ZN
              *             *   U652/A
          -2.27         -2.33   U652/B
          -2.27         -2.33   U652/Z
           0.76          0.71   ctrl/counter/tff_0/dffe/q_reg/D
              *             *   ctrl/counter/tff_0/dffe/q_reg/SI
              *             *   ctrl/counter/tff_0/dffe/q_reg/SE
           0.71             *   ctrl/counter/tff_0/dffe/q_reg/CK
              *             *   ctrl/counter/tff_0/dffe/q_reg/RN
              *             *   ctrl/counter/tff_0/dffe/q_reg/Q
           0.76          0.71   ctrl/counter/tff_0/dffe/q_reg/QN
              *             *   ctrl/counter/tff_1/dffe/q_reg/D
              *             *   ctrl/counter/tff_1/dffe/q_reg/SI
              *             *   ctrl/counter/tff_1/dffe/q_reg/SE
              *             *   ctrl/counter/tff_1/dffe/q_reg/CK
              *             *   ctrl/counter/tff_1/dffe/q_reg/RN
              *             *   ctrl/counter/tff_1/dffe/q_reg/Q
              *             *   ctrl/counter/tff_1/dffe/q_reg/QN
              *             *   ctrl/counter/tff_2/dffe/q_reg/D
              *             *   ctrl/counter/tff_2/dffe/q_reg/SI
              *             *   ctrl/counter/tff_2/dffe/q_reg/SE
              *             *   ctrl/counter/tff_2/dffe/q_reg/CK
              *             *   ctrl/counter/tff_2/dffe/q_reg/RN
              *             *   ctrl/counter/tff_2/dffe/q_reg/Q
              *             *   ctrl/counter/tff_2/dffe/q_reg/QN
              *             *   ctrl/counter/tff_3/dffe/q_reg/D
              *             *   ctrl/counter/tff_3/dffe/q_reg/SI
              *             *   ctrl/counter/tff_3/dffe/q_reg/SE
              *             *   ctrl/counter/tff_3/dffe/q_reg/CK
              *             *   ctrl/counter/tff_3/dffe/q_reg/RN
              *             *   ctrl/counter/tff_3/dffe/q_reg/Q
              *             *   ctrl/counter/tff_3/dffe/q_reg/QN
              *             *   ctrl/counter/tff_4/dffe/q_reg/D
              *             *   ctrl/counter/tff_4/dffe/q_reg/SI
              *             *   ctrl/counter/tff_4/dffe/q_reg/SE
              *             *   ctrl/counter/tff_4/dffe/q_reg/CK
              *             *   ctrl/counter/tff_4/dffe/q_reg/RN
              *             *   ctrl/counter/tff_4/dffe/q_reg/Q
              *             *   ctrl/counter/tff_4/dffe/q_reg/QN
              *             *   ctrl/counter/tff_5/dffe/q_reg/D
              *             *   ctrl/counter/tff_5/dffe/q_reg/SI
              *             *   ctrl/counter/tff_5/dffe/q_reg/SE
              *             *   ctrl/counter/tff_5/dffe/q_reg/CK
              *             *   ctrl/counter/tff_5/dffe/q_reg/RN
              *             *   ctrl/counter/tff_5/dffe/q_reg/Q
              *             *   ctrl/counter/tff_5/dffe/q_reg/QN
              *             *   ctrl/counter/output16_dff/q_reg/D
              *             *   ctrl/counter/output16_dff/q_reg/SI
              *             *   ctrl/counter/output16_dff/q_reg/SE
           0.48             *   ctrl/counter/output16_dff/q_reg/CK
              *             *   ctrl/counter/output16_dff/q_reg/RN
           0.48          0.48   ctrl/counter/output16_dff/q_reg/Q
